Vin,Pout,freq_hz,gain_M,vout,I_p_rms,I_s_rms,I_diode_avg,I_diode_rms,Q
24.0,50.0,35000.0,1.2126746613434114,10.94167674889675,9.96581382857882,12.457267285723525,2.2848417636282985,5.075642244007918,0.29102253337617523
24.0,50.0,40000.0,1.1109399660617938,9.96502367419322,8.600434193428718,10.750542741785898,2.5087747723814644,5.573096315947873,0.29102253337617523
24.0,50.0,45000.0,1.0452097869060717,9.334013954298289,7.731637909193735,9.664547386492169,2.6783761115428337,5.949855763972303,0.29102253337617523
24.0,50.0,50000.0,0.9992970870080368,8.893252035277154,7.135684065676168,8.91960508209521,2.8111201505176826,6.244738876924094,0.29102253337617523
24.0,50.0,60000.0,0.9381655569131298,8.306389346366046,6.372071880172606,7.965089850215757,3.009731299308432,6.685941919069322,0.29102253337617523
24.0,50.0,70000.0,0.8971165786159635,7.912319154713249,5.896657068801468,7.370821336001835,3.1596298773044156,7.018932836385599,0.29102253337617523
24.0,50.0,80000.0,0.8654053106265565,7.6078909820149425,5.56166663486839,6.952083293585487,3.2860618086010973,7.299793971583818,0.29102253337617523
24.0,50.0,100000.0,0.8142969113975871,7.117250349416835,5.089606896353089,6.362008620441362,3.512592472182522,7.803018581681622,0.29102253337617523
24.0,50.0,120000.0,0.7701968294656459,6.6938895628702015,4.738554055864989,5.923192569831236,3.734749395728082,8.296527184288783,0.29102253337617523
24.0,50.0,140000.0,0.7293851968186622,6.302097889459156,4.44384758802207,5.5548094850275875,3.9669329862068348,8.81230944061798,0.29102253337617523
24.0,50.0,150000.0,0.7098734107053339,6.1147847427712065,4.309717411315153,5.387146764143941,4.088451360377742,9.082255396256315,0.29102253337617523
24.0,50.0,170000.0,0.6724772543140461,5.755781641414843,4.060958784495711,5.076198480619639,4.343458726807206,9.648739334963397,0.29102253337617523
24.0,50.0,200000.0,0.620442669533467,5.256249627521283,3.7270758113791667,4.658844764223958,4.756242905417218,10.565715227107466,0.29102253337617523
24.0,50.0,250000.0,0.5446319749621877,4.528466959637002,3.2554159556580804,4.069269944572601,5.520632086494008,12.263761052466924,0.29102253337617523
24.0,75.0,35000.0,1.1659377727135092,10.493002618049688,12.306093857394337,15.382617321742922,3.5738102204886366,7.939010226412475,0.43653380006426284
24.0,75.0,40000.0,1.096758381861636,9.828880465871705,11.17386455872296,13.9673306984037,3.815287013633876,8.475436788525567,0.43653380006426284
24.0,75.0,45000.0,1.0426169496629534,9.309122716764353,10.352070512523776,12.94008814065472,4.028306548421372,8.948647216826465,0.43653380006426284
24.0,75.0,50000.0,0.9992964069018739,8.89324550625799,9.732477682883243,12.165597103604053,4.216683321472688,9.367115192293976,0.43653380006426284
24.0,75.0,60000.0,0.9322284197462933,8.249392829564417,8.843743837514548,11.054679796893186,4.545789099242116,10.098204414744542,0.43653380006426284
24.0,75.0,70000.0,0.8794804243072537,7.743012073349635,8.206448553546721,10.258060691933402,4.843076524324398,10.758611029058093,0.43653380006426284
24.0,75.0,80000.0,0.8342865534629029,7.309150913243868,7.699288896855158,9.624111121068948,5.130554895514828,11.397227404283852,0.43653380006426284
24.0,75.0,100000.0,0.7564165560470341,6.561598938051527,6.88842873808413,8.610535922605163,5.71507042018872,12.695694430115012,0.43653380006426284
24.0,75.0,120000.0,0.6893549964825846,5.917807966232812,6.231588272521745,7.789485340652181,6.336805826410068,14.076843244289908,0.43653380006426284
24.0,75.0,140000.0,0.63064248555517,5.354167861329632,5.675242981195148,7.094053726493935,7.003889487821811,15.55873055309513,0.43653380006426284
24.0,75.0,150000.0,0.6040492995439611,5.098873275622027,5.427148433865259,6.783935542331574,7.354565993881318,16.337737885887517,0.43653380006426284
24.0,75.0,170000.0,0.5558211221181211,4.635882772333962,4.981722435728929,6.227153044661161,8.089074258691923,17.96940500471919,0.43653380006426284
24.0,75.0,200000.0,0.4943125959379359,4.045400921004185,4.419896638113867,5.524870797642334,9.269785796828122,20.592286578555207,0.43653380006426284
24.0,75.0,250000.0,0.41451473084609436,3.279341416122506,3.6980834528359234,4.622604316044904,11.435222882141991,25.40267831855339,0.43653380006426284
24.0,100.0,35000.0,1.108742035131011,9.943923537257707,14.575299832311595,18.219124790389493,5.028196346508593,11.16984387880663,0.5820450667523505
24.0,100.0,40000.0,1.0777865840037708,9.6467512064362,13.853138200463924,17.316422750579903,5.183092103239957,11.513935736194082,0.5820450667523505
24.0,100.0,45000.0,1.0390191819107382,9.274584146343088,13.142443479082434,16.428054348853042,5.391077293715071,11.975962663269833,0.5820450667523505
24.0,100.0,50000.0,0.9992954547555795,8.893236365653564,12.49180972402093,15.614762155026163,5.62225020725911,12.489499759944415,0.5820450667523505
24.0,100.0,60000.0,0.9241026549812968,8.171385487820451,11.370886548144503,14.213608185180629,6.118913380665446,13.592807929513716,0.5820450667523505
24.0,100.0,70000.0,0.8564503639262628,7.521923493692122,10.436008025922604,13.045010032403255,6.647235915378554,14.766445517174441,0.5820450667523505
24.0,100.0,80000.0,0.7958685227875818,6.940337818760786,9.635524461368849,12.04440557671106,7.204260268836254,16.0038425152324,0.5820450667523505
24.0,100.0,100000.0,0.6928381694451085,5.95124642667304,8.323929056912794,10.404911321140993,8.401601347896426,18.663665640888677,0.5820450667523505
24.0,100.0,120000.0,0.6096736938541232,5.152867460999582,7.293892267791113,9.117365334738892,9.703335158226778,21.555391108858977,0.5820450667523505
24.0,100.0,140000.0,0.5420883667136867,4.504048320451392,6.468717497016074,8.085896871270092,11.101124242598944,24.660497745909527,0.5820450667523505
