case,f_khz,Lr_uH,Lm_uH,Vin,Cout_uF,Vf,ic_vcr,ic_ilm,ic_ilr,peak_half_A,peak_cycle_A,cross_dac300,cross_dac320
ic_f150_vcr-2_ilm+0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-2.0,0.5,0.1,27.35550736586053,39.32306052133264,True,True
ic_f150_vcr-1_ilm-0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,-0.5,-0.1,25.816939606461176,34.660899452538054,True,True
ic_f150_vcr-1_ilm-0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,-0.5,0.0,25.981372063007615,35.06206489136916,True,True
ic_f150_vcr-1_ilm-0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,-0.5,0.1,26.13242281722696,35.463414691810875,True,True
ic_f150_vcr-1_ilm+0.0_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.0,-0.1,25.834031578124574,34.71796103807805,True,True
ic_f150_vcr-1_ilm+0.0_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.0,0.0,25.98131119129587,35.09289155626935,True,True
ic_f150_vcr-1_ilm+0.0_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.0,0.1,26.141176282999222,35.49408773020779,True,True
ic_f150_vcr-1_ilm+0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.5,-0.1,25.89517887115908,34.8813721771536,True,True
ic_f150_vcr-1_ilm+0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.5,0.0,26.044596207000172,35.25638551014181,True,True
ic_f150_vcr-1_ilm+0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,-1.0,0.5,0.1,26.19599284334349,35.631379726564234,True,True
ic_f150_vcr+0_ilm-0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,-0.5,-0.1,24.65213631587748,30.964817231281355,True,True
ic_f150_vcr+0_ilm-0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,-0.5,0.0,24.825910410422804,31.366117991614686,True,True
ic_f150_vcr+0_ilm-0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,-0.5,0.1,24.967577358535383,31.767448634534777,True,True
ic_f150_vcr+0_ilm+0.0_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,-0.1,24.680300987022196,31.023584793614003,True,True
ic_f150_vcr+0_ilm+0.0_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,24.834814737870413,31.397030231315174,True,True
ic_f150_vcr+0_ilm+0.0_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.1,24.97632929894735,31.798175300444157,True,True
ic_f150_vcr+0_ilm+0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.5,-0.1,24.750731424277948,31.1915137564324,True,True
ic_f150_vcr+0_ilm+0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.5,0.0,24.88274915564765,31.565617750906508,True,True
